key	ko	ja	en
host.gangster.name	갱스터	ギャングスター	
host.thug.name	폭력배	チンピラ	
host.amazon.name	아마존	アマゾネス	
host.amazon_elite.name	아마존 정예	アマゾネス・エリート	
host.hopper.name	호퍼	ホッパー	
host.hopper_smg.name	호퍼(기관단총)	ホッパー（SMG）	
host.commando_mg.name	코만도(기관총)	コマンドーMG	
host.commando_laser.name	코만도(레이저)	コマンドーLSR	
host.commando_grenade.name	코만도(수류탄)	コマンドーGL	
host.salamander.name	샐러맨더	サラマンダー	
host.dragoon.name	드라군	ドラグーン	
host.dragon_blue.name	청룡	青龍	
host.guru.name	구루	グル	
host.white_wizard.name	화이트 위저드	ホワイトウィザード	
host.medium.name	영매	霊媒師	
host.ninja.name	닌자	忍者	
host.ninja_chain.name	닌자(사슬)	忍者（鎖）	
host.robot.name	로봇	ロボット	
host.baseball.name	슬러거	スラッガー	
host.snowwoman.name	설녀	雪女	
host.vampire.name	흡혈귀	ヴァンパイア	
host.commando_missile.name	코만도(미사일)	コマンドーMSL	
host.death.name	사신	死神	
askill.psg_h01.name	도약 강타	跳躍強打	
askill.psg_h01.desc	가장 가까운 적에게 뛰어들어 둘레를 300% 피해로 친다.	最も近い敵に飛び込み、周囲に300%のダメージを与える。	
askill.psg_h02.name	(미정)	（未定）	
askill.psg_h02.desc	스킬 보류 — 정해지면 채운다.	スキル保留 — 決まり次第追加する。	
askill.psg_h03.name	융단 폭격	絨毯爆撃	
askill.psg_h03.desc	수류탄 5발을 부채꼴로 동시에 던진다.	グレネード5発を扇状に同時に投げる。	
askill.psg_h04.name	연쇄 방전	連鎖放電	
askill.psg_h04.desc	3초간 주변 적에게 전기가 계속 튄다.	3秒間、周囲の敵に電撃が走り続ける。	
askill.psg_h05.name	방벽 전개	防壁展開	
askill.psg_h05.desc	5초간 최대 체력만큼 쉴드를 두른다. 깎이면 끝난다.	5秒間、最大体力分のシールドをまとう。削られると消える。	
askill.psg_h06.name	다중 유도	多重誘導	
askill.psg_h06.desc	반원으로 퍼진 8발이 한 대상으로 모여 든다.	半円状に放った8発が1体の敵に収束する。	
askill.psg_h07.name	뇌전 폭주	雷電暴走	
askill.psg_h07.desc	2초간 번개 튕김이 반드시 터진다.	2秒間、連鎖雷が必ず発生する。	
askill.psg_h08.name	독 뿜기	毒霧噴射	
askill.psg_h08.desc	둘레 5 m 의 적을 모두 중독시킨다. 독은 아프고 느려진다.	周囲5mの敵を毒状態にする。毒はダメージと鈍足を与える。	
askill.psg_h09.name	화염 지대	火炎地帯	
askill.psg_h09.desc	가장 가까운 적 발밑에 불바다를 편다. 밟고 선 적이 계속 탄다.	最も近い敵の足元に火の海を広げる。上に立つ敵は燃え続ける。	
askill.psg_h10.name	일제 표식	一斉マーキング	
askill.psg_h10.desc	방 안 모든 적에게 3초간 표식을 새긴다.	部屋にいるすべての敵に3秒間マーキングを刻む。	
askill.psg_h11.name	난사	乱射	
askill.psg_h11.desc	1초간 3방향으로 쏟아붓는다.	1秒間、3方向に撃ちまくる。	
askill.psg_h12.name	수호 결계	守護結界	
askill.psg_h12.desc	3초간 받는 피해 −50% · 쉴드 획득 2배.	3秒間、被ダメージ−50%・シールド獲得量2倍。	
askill.psg_h13.name	정조준	精密照準	
askill.psg_h13.desc	5초간 치명타 확률이 90% 로 고정된다.	5秒間、クリティカル率が90%に固定される。	
askill.psg_h14.name	도약 강습	跳躍強襲	
askill.psg_h14.desc	가장 먼 적에게 뛰어들고 2초간 무적.	最も遠い敵に飛び込み、2秒間無敵になる。	
askill.psg_h15.name	골렘 소환	ゴーレム召喚	
askill.psg_h15.desc	골렘을 세운다. 해골보다 크고 오래 싸운다.	ゴーレムを呼び出す。スケルトンより大きく、長く戦う。	
askill.psg_h16.name	광휘 확산	光輝拡散	
askill.psg_h16.desc	부채꼴 8방향으로 광탄을 쏜다.	扇状8方向に光弾を放つ。	
askill.psg_h17.name	사슬 결박	鎖の束縛	
askill.psg_h17.desc	방 안 모든 적을 5초간 묶는다. 묶인 적은 더 아프게 맞는다.	部屋の全ての敵を5秒間拘束。拘束中の敵は被ダメージ増加。	
askill.psg_h18.name	그림자 분신	影分身	
askill.psg_h18.desc	방 한가운데 분신을 세운다. 5초간 적이 전부 분신을 노린다.	部屋の中央に分身を置く。5秒間、敵はすべて分身を狙う。	
askill.psg_h19.name	포탑 전개	砲台展開	
askill.psg_h19.desc	10초간 자동으로 쏘는 포탑을 세운다.	10秒間、自動で撃つ砲台を設置する。	
askill.psg_h20.name	전탄 반사	全弾反射	
askill.psg_h20.desc	5초간 날아오는 탄을 되받아친다. 반사탄은 더 아프다.	5秒間、飛んでくる弾を跳ね返す。反射弾は威力が高い。	
askill.psg_h21.name	얼음 감옥	氷の牢獄	
askill.psg_h21.desc	1초간 얼음에 들어간다. 맞지도 때리지도 않고 체력 30% 를 채운다.	1秒間、氷に閉じこもる。攻撃を受けず与えず、体力を30%回復する。	
askill.psg_h22.name	혈연	血宴	
askill.psg_h22.desc	화면에 보이는 적 머릿수만큼 최대 체력의 2% 씩 회복한다.	画面内の敵の数だけ、最大体力の2%ずつ回復する。	
askill.psg_h23.name	사신의 시간	死神の刻	
askill.psg_h23.desc	3초간 때리는 적이 죽는다. 중간 보스는 절반, 보스는 열에 하나.	3秒間、攻撃した敵を即死させる。中ボスは半分、ボスは10分の1。	
pskill.psv_amazon.name	쉴드 질주	シールド疾走	
pskill.psv_amazon.desc	쉴드가 찰수록 빨라진다. 가득이면 이동속도 +40%.	シールドが溜まるほど速くなる。最大時は移動速度+40%。	
pskill.psv_counter.name	역전의 자세	逆転の構え	
pskill.psv_counter.desc	쉴드가 남아 있는 동안 공격력이 오른다.	シールドが残っている間、攻撃力が上がる。	
pskill.psv_slugger.name	장외 타구	場外弾	
pskill.psv_slugger.desc	막타에 20% 로 주변 적을 날려 버린다.	とどめの一撃で20%の確率で周囲の敵を吹き飛ばす。	
pskill.psv_death.name	망자 소집	亡者召集	
pskill.psv_death.desc	적을 잡을 때마다 그 자리에서 해골이 일어선다.	敵を倒すたび、その場にスケルトンが起き上がる。	
pskill.psv_guru.name	무형보	無形歩	
pskill.psv_guru.desc	걸어 다닐 때 지형지물을 통과한다.	歩いている間、障害物をすり抜ける。	
pskill.psv_ninja_chain.name	흘리기	受け流し	
pskill.psv_ninja_chain.desc	10% 로 피해를 통째로 흘린다.	10%の確率でダメージを丸ごと受け流す。	
pskill.psv_dragoon.name	불씨	火種	
pskill.psv_dragoon.desc	명중한 적에게 10% 로 화상. 겹치지 않는다.	命中した敵に10%の確率で燃焼。重複しない。	
pskill.psv_salamander.name	독니	毒牙	
pskill.psv_salamander.desc	명중한 적에게 10% 로 독. 겹치지 않는다.	命中した敵に10%の確率で毒。重複しない。	
pskill.psv_dragon_blue.name	낙뢰	落雷	
pskill.psv_dragon_blue.desc	10% 로 옆 적에게 번개가 튄다. 튈 적이 없으면 터지지 않는다.	10%の確率で隣の敵に雷が跳ぶ。跳ぶ先がいなければ発動しない。	
pskill.psv_commando_grenade.name	파편탄	破片弾	
pskill.psv_commando_grenade.desc	상대 방어력을 50% 무시한다.	相手の防御力を50%無視する。	
pskill.psv_snowwoman.name	서릿발	霜柱	
pskill.psv_snowwoman.desc	30% 로 적을 얼린다. 얼어 있는 적에게는 더 아프다. 보스는 안 걸린다.	30%で敵を凍結。ボスには無効。凍った敵へのダメージが増える。	
pskill.psv_hopper_smg.name	충격 반동	衝撃反動	
pskill.psv_hopper_smg.desc	10% 로 맞은 적을 밀어낸다.	10%の確率で当たった敵を押し返す。	
pskill.psv_commando_mg.name	중장갑	重装甲	
pskill.psv_commando_mg.desc	방어력 20% 증가.	防御力20%上昇。	
pskill.psv_thug.name	삥	カツアゲ	
pskill.psv_thug.desc	주운 골드가 10% 더 들어온다.	拾ったゴールドが10%増える。	
pskill.psv_ninja.name	질주	疾走	
pskill.psv_ninja.desc	적을 잡으면 1.5초간 이동속도 +30%.	敵を倒すと1.5秒間、移動速度+30%。	
pskill.psv_leech.name	흡혈	吸血	
pskill.psv_leech.desc	8% 로 공격력의 5% 만큼 회복한다.	8%の確率で攻撃力の5%分を回復する。	
pskill.psv_gangster.name	처형 계약	処刑契約	
pskill.psv_gangster.desc	표식이 붙은 적을 20% 로 즉사. 엘리트는 최대 체력 50%, 보스는 30%.	マーキング中の敵を20%で即死。\nエリート50%・ボス30%を削る。	
pskill.psv_momentum.name	급소	急所	
pskill.psv_momentum.desc	치명타 피해 +30%.	クリティカルダメージ+30%。	
pskill.psv_commando_missile.name	고폭탄	高爆弾	
pskill.psv_commando_missile.desc	투사체가 지형지물을 무시한다.	弾が障害物を無視する。	
pskill.psv_medium.name	강령	降霊	
pskill.psv_medium.desc	적을 잡으면 30% 로 해골이 일어선다.	敵を倒すと30%の確率でスケルトンが起き上がる。	
pskill.psv_white_wizard.name	관통 광선	貫通光線	
pskill.psv_white_wizard.desc	투사체가 지형지물을 무시하고 적을 관통한다.	弾が障害物を無視し、敵を貫通する。	
pskill.psv_commando_laser.name	집속 광선	集束光線	
pskill.psv_commando_laser.desc	투사체가 지형지물을 무시하고 적을 관통한다.	弾が障害物を無視し、敵を貫通する。	
pskill.psv_spare_circuit.name	예비 회로	予備回路	
pskill.psv_spare_circuit.desc	평타가 2% 로 액티브 쿨을 1초 당긴다.	通常攻撃が2%の確率でアクティブのクールタイムを1秒短縮する。	
card.c001.name	감전	感電	
card.c001.desc	명중하면 전기가 옆 적에게 튄다.	命中すると隣の敵に電撃が跳ぶ。	
card.c002.name	성장 가속	成長加速	
card.c002.desc	얻는 경험치가 늘어난다.	獲得経験値が増える。	
card.c003.name	수호 방패	守護の盾	
card.c003.desc	방패가 내 주위를 돌며 막는다.	盾が周囲を回って攻撃を防ぐ。	
card.c004.name	처형	処刑	
card.c004.desc	빈사인 적을 확률로 즉사시킨다.	瀕死の敵を確率で即死させる。	
card.c005.name	번개 사슬	雷鎖	
card.c005.desc	전기가 더 여러 번 튄다.	電撃がより多く跳ぶ。	
card.c006.name	흡혼	吸魂	
card.c006.desc	적을 잡으면 체력을 돌려받는다.	敵を倒すと体力が回復する。	
card.c007.name	찰나의 불사	刹那の不死	
card.c007.desc	맞는 순간 2초 무적이 된다.	被弾した瞬間、2秒間無敵になる。	
card.c008.name	추가 발사	追加発射	
card.c008.desc	쏠 때마다 탄이 더 나간다.	撃つたびに弾が増える。	
card.c009.name	화염 각인	火炎の刻印	
card.c009.desc	공격에 화상을 붙인다.	攻撃に燃焼を付与する。	
card.c010.name	궁지	窮地	
card.c010.desc	체력이 절반 아래면 세진다.	体力が半分以下になると強くなる。	
boss.robot_snakes.name	로봇 스네이크	ロボットスネーク	
bossmove.BurrowStrike.name	솟아오름	突き上げ	
bossmove.RailLaser.name	레이저	レーザー	
bossmove.DebrisFall.name	천장 파편	天井崩落	
bossmove.HeadBite.name	머리 물기	噛みつき	
boss.crusher.name	크러셔	クラッシャー	
bossmove.Missile.name	미사일	ミサイル	
bossmove.WreckingBall.name	쇠사슬 파괴구	鉄球	
bossmove.FanShot.name	부채꼴 사격	扇状射撃	
bossmove.RamCharge.name	돌진	突進	
boss.python.name	파이썬	パイソン	
bossmove.HeadLunge.name	머리 뻗기	首伸ばし	
bossmove.VenomSpit.name	독 뱉기	毒吐き	
bossmove.BrickFall.name	벽돌 낙하	レンガ落下	
bossmove.BodyShove.name	몸통 밀기	体当たり	
boss.sludge.name	슬러지	スラッジ	
bossmove.Emerge.name	솟아오름	出現	
bossmove.Spit.name	뱉기	吐き出し	
bossmove.CeilingCling.name	천장 붙기	天井張り付き	
bossmove.CeilingSpread.name	천장 확산	天井拡散	
boss.guardian.name	가디언	ガーディアン	
bossmove.SegmentThrust.name	마디 돌진	節突進	
bossmove.SegmentLaunch.name	마디 사출	節射出	
bossmove.CoilWall.name	똬리	とぐろ	
boss.kingpin.name	킹핀	キングピン	
bossmove.MissileSalvo.name	미사일 일제	ミサイル一斉射	
bossmove.ExecutionLock.name	처형 조준	処刑照準	
bossmove.StrafingRun.name	저공 활강	低空滑空	
bossmove.BoosterDrop.name	부스터 강하	ブースター降下	
event.EV_CH1_01.title	영혼의 사당	魂の祠	
event.EV_CH1_01.body	부서진 방파제 끝에 낡은 사당이 서 있다.\n동전을 놓는 자리가 손때에 파여 있다.	崩れた防波堤の先に、古びた祠が建っている。\n硬貨を置く窪みが、人の手ですり減っている。	
event.EV_CH1_01.accept	동전을 놓는다	硬貨を置く	
event.EV_CH1_01.decline	지나간다	立ち去る	
event.EV_CH1_02.title	버려진 보급품	捨てられた補給品	
event.EV_CH1_02.body	뒤집힌 상자 하나. 안에 든 것을 다 가져갈 수는 없다.\n장비를 챙기든지, 팔아 넘기든지.	横倒しの箱がひとつ。中身をすべて持っていくことはできない。\n装備を持っていくか、売り払うか。	
event.EV_CH1_02.accept	장비를 챙긴다	装備を持っていく	
event.EV_CH1_02.decline	팔아 넘긴다  (골드 25)	売り払う  （ゴールド25）	
event.EV_CH1_03.title	잠긴 금고	鍵のかかった金庫	
event.EV_CH1_03.body	다이얼이 세 칸 남았다. 억지로 열면 안의 것이 상할지도 모른다.	ダイヤルはあと3つ。無理に開ければ、中身が傷むかもしれない。	
event.EV_CH1_03.accept	억지로 연다	無理やり開ける	
event.EV_CH1_03.decline	지나간다	立ち去る	
event.EV_CH1_04.title	길 잃은 영혼	迷える魂	
event.EV_CH1_04.body	저도 몸을 찾다 지친 것이 하나 떠 있다.\n제 몫을 조금 떼어 주면 몸으로 가는 길을 넓혀 주겠다고 한다.	体を探し疲れた者がひとつ、漂っている。\n分け前を少し渡せば、体への道を広げてやると言う。	
event.EV_CH1_04.accept	영혼을 나눠 준다	魂を分け与える	
event.EV_CH1_04.decline	지나간다	立ち去る	
event.EV_CH1_05.title	야전 의무병	野戦衛生兵	
event.EV_CH1_05.body	부두 창고에 아직 숨이 붙은 의무병이 있다.\n말은 안 통하지만 손짓은 통한다.	埠頭の倉庫に、まだ息のある衛生兵がいる。\n言葉は通じないが、身振りは通じる。	
event.EV_CH1_05.accept	값을 치른다	代価を払う	
event.EV_CH1_05.decline	내버려 둔다	放っておく	
event.EV_CH1_06.title	좁은 길목	狭い通り道	
event.EV_CH1_06.body	짐짝 사이로 길이 하나뿐이다.\n반대편에서 기척이 난다. 돌아갈 수도 있다.	荷物の間に道はひとつだけ。\n向こう側で気配がする。引き返すこともできる。	
event.EV_CH1_06.accept	밀고 들어간다	押し入る	
event.EV_CH1_06.decline	돌아간다	引き返す	
event.EV_CH2_01.title	저주받은 은닉처	呪われた隠し場所	
event.EV_CH2_01.body	네온이 닿지 않는 구석. 손을 넣으면 살이 타는 냄새가 난다.\n안쪽에서 무언가가 빛난다.	ネオンの届かない片隅。手を入れると、肉の焼ける匂いがする。\n奥で何かが光っている。	
event.EV_CH2_01.accept	손을 넣는다	手を入れる	
event.EV_CH2_01.decline	물러선다	身を引く	
event.EV_CH2_02.title	이름난 몸	名の知れた体	
