■ 스타일 게이트 통과 6개 (정상 기준선)
파일                             런길이     좌우대칭     상위3색비
chaptercard                    4.3      29%       31%
continuebutton                18.7      33%       38%
gemicon                        3.0      65%       61%
goldicon                       2.7      79%       41%
staminaicon                    2.7      35%       67%
tophudbackground              24.5      42%       47%

■ 도형 의심 (런길이 6 이상 또는 좌우대칭 85% 이상 또는 상위3색 75% 이상)
파일                             런길이     좌우대칭     상위3색비
backgroundimage              472.4      91%       99%
lobbybackground              462.3      87%       99%
tipbar                       171.8     100%      100%
featuretabbarbackground      143.6     100%      100%
hostlisttitle                122.1     100%       94%
hostupgradebutton             84.8     100%      100%
possessstartbutton            81.5     100%      100%
progressbarbg                 71.9     100%      100%
battlepassbarbg               62.9     100%      100%
statbarbg                     62.0     100%      100%
ultimatecard                  61.8     100%      100%
hostdetailframe               61.1     100%      100%
progressbarfill               57.5     100%      100%
ghostexpbarbg                 55.5     100%      100%
eventcard                     55.3     100%      100%
battlepasscard                54.7     100%      100%
dailylogincard                54.7     100%      100%
battlepassbarfill             53.7     100%      100%
statbarfill                   51.7     100%      100%
chapterbutton                 49.5     100%      100%
chapterbuttonart              47.6     100%      100%
ghostexpbarfill               47.4     100%      100%
hostbutton                    46.6     100%      100%
shopbutton                    46.6     100%      100%
hostdetaillockicon            45.5      99%      100%
hostbuttonart                 44.5     100%      100%
shopbuttonart                 44.5     100%      100%
ghostwidget                   44.1     100%      100%
hostportalpedestal            38.9     100%      100%
headerportaldeco              38.0      99%      100%
inventorytabicon              37.6     100%      100%
battlepassart                 37.3      98%       76%
hostselectbackground          36.4      80%       99%
headerghostdeco               36.2      97%      100%
portalring                    34.9     100%      100%
goldcounter                   32.7     100%      100%
staminacounter                31.2     100%      100%
friendstabicon                30.9      54%      100%
settingsbutton                27.7      98%      100%
gemcounter                    27.5     100%      100%
ghostportraiticon             26.5      96%      100%
mailbutton                    26.2      96%      100%
eventart                      24.4      96%      100%
hostslotframe                 23.8     100%      100%
hostslotframe_locked          23.8     100%      100%
hostslotframe_selected        23.8     100%      100%
achievementtabicon            23.0     100%      100%
dailyloginart                 21.0      94%      100%
possessghosticon              20.4      95%      100%
ownedhostchesticon            18.1      94%       90%
progressrewardchest           18.1      94%       90%
rankingtabicon                17.4      48%      100%
hostslotlockicon              17.0      97%      100%
hostupgradeicon               12.6      90%      100%
battlepassbadge               12.6      90%      100%
friendstablock                11.2      95%      100%
missiontabicon                 9.3      91%       96%
staticon_dash                  8.4      84%      100%
staticon_spd                   8.4      84%      100%
ultimateicon_rambo             8.2      91%      100%
ultimateicon_yogamaster        8.2      91%      100%
ultimateicon_amazoness         7.8      90%      100%
ultimateicon_wizard            7.8      90%      100%
ultimateicon_ninja             7.5      91%      100%
tipicon                        7.3      91%      100%
notifybadge                    7.0      88%      100%
titlelogo                      6.5      29%       41%
plusbutton                     6.3      86%      100%
arrowicon                      2.7      67%      100%
ghostarrowchevron              3.5      61%      100%
ghostarrowsprite               3.6      78%      100%
hostslotselectmarker           2.7      67%      100%
staticon_atk                   3.5      61%      100%
staticon_hp                    5.3      85%      100%
ultimateicon_dragon            5.1      78%      100%
ultimateicon_hitman            5.6      87%      100%
ultimateicon_mafia             5.1      78%      100%
ultimateicon_robot             5.1      78%      100%
ultimateicon_slugger           5.6      87%      100%
ultimateicon_snowwoman         5.6      87%      100%
ultimateicon_vampire           5.6      87%      100%
dailylogincheck                5.5      63%      100%

의심 82개 / 전체 115개
