  0 LobbyMainUI                <- (root)
  1 LobbyStageArea             <- LobbyMainUI
  2 LobbyBackground            <- LobbyStageArea
  3 PortalRing                 <- LobbyStageArea
  4 GhostAvatar                <- LobbyStageArea
  5 ChapterCard                <- LobbyMainUI
  6 ChapterNumberText          <- ChapterCard
  7 ChapterNameText            <- ChapterCard
  8 BossLabel                  <- ChapterCard
  9 BossNameText               <- ChapterCard
 10 BossPortrait               <- ChapterCard
 11 ProgressLabel              <- ChapterCard
 12 ProgressBarBg              <- ChapterCard
 13 ProgressBarFill            <- ProgressBarBg
 14 ProgressText               <- ChapterCard
 15 ProgressRewardChest        <- ChapterCard
 16 ContinueButton             <- ChapterCard
 17 ContinueButtonText         <- ContinueButton
 18 ContinueCostText           <- ContinueButton
 19 SidePromoGroup             <- LobbyMainUI
 20 BattlePassCard             <- SidePromoGroup
 21 BattlePassArt              <- BattlePassCard
 22 BattlePassBadge            <- BattlePassCard
 23 BattlePassBarBg            <- BattlePassCard
 24 BattlePassBarFill          <- BattlePassCard
 25 EventCard                  <- SidePromoGroup
